DateKey,Date,Year,Quarter,Month,MonthName,Day
20150101,2015-01-01,2015,Q1,1,January,1
20150102,2015-01-02,2015,Q1,1,January,2
20150103,2015-01-03,2015,Q1,1,January,3
20150104,2015-01-04,2015,Q1,1,January,4
20150105,2015-01-05,2015,Q1,1,January,5
20150106,2015-01-06,2015,Q1,1,January,6
20150107,2015-01-07,2015,Q1,1,January,7
20150108,2015-01-08,2015,Q1,1,January,8
20150109,2015-01-09,2015,Q1,1,January,9
20150110,2015-01-10,2015,Q1,1,January,10
20150111,2015-01-11,2015,Q1,1,January,11
20150112,2015-01-12,2015,Q1,1,January,12
20150113,2015-01-13,2015,Q1,1,January,13
20150114,2015-01-14,2015,Q1,1,January,14
20150115,2015-01-15,2015,Q1,1,January,15
20150116,2015-01-16,2015,Q1,1,January,16
20150117,2015-01-17,2015,Q1,1,January,17
20150118,2015-01-18,2015,Q1,1,January,18
20150119,2015-01-19,2015,Q1,1,January,19
20150120,2015-01-20,2015,Q1,1,January,20
20150121,2015-01-21,2015,Q1,1,January,21
20150122,2015-01-22,2015,Q1,1,January,22
20150123,2015-01-23,2015,Q1,1,January,23
20150124,2015-01-24,2015,Q1,1,January,24
20150125,2015-01-25,2015,Q1,1,January,25
20150126,2015-01-26,2015,Q1,1,January,26
20150127,2015-01-27,2015,Q1,1,January,27
20150128,2015-01-28,2015,Q1,1,January,28
20150129,2015-01-29,2015,Q1,1,January,29
20150130,2015-01-30,2015,Q1,1,January,30
20150131,2015-01-31,2015,Q1,1,January,31
20150201,2015-02-01,2015,Q1,2,February,1
20150202,2015-02-02,2015,Q1,2,February,2
20150203,2015-02-03,2015,Q1,2,February,3
20150204,2015-02-04,2015,Q1,2,February,4
20150205,2015-02-05,2015,Q1,2,February,5
20150206,2015-02-06,2015,Q1,2,February,6
20150207,2015-02-07,2015,Q1,2,February,7
20150208,2015-02-08,2015,Q1,2,February,8
20150209,2015-02-09,2015,Q1,2,February,9
20150210,2015-02-10,2015,Q1,2,February,10
20150211,2015-02-11,2015,Q1,2,February,11
20150212,2015-02-12,2015,Q1,2,February,12
20150213,2015-02-13,2015,Q1,2,February,13
20150214,2015-02-14,2015,Q1,2,February,14
20150215,2015-02-15,2015,Q1,2,February,15
20150216,2015-02-16,2015,Q1,2,February,16
20150217,2015-02-17,2015,Q1,2,February,17
20150218,2015-02-18,2015,Q1,2,February,18
20150219,2015-02-19,2015,Q1,2,February,19
20150220,2015-02-20,2015,Q1,2,February,20
20150221,2015-02-21,2015,Q1,2,February,21
20150222,2015-02-22,2015,Q1,2,February,22
20150223,2015-02-23,2015,Q1,2,February,23
20150224,2015-02-24,2015,Q1,2,February,24
20150225,2015-02-25,2015,Q1,2,February,25
20150226,2015-02-26,2015,Q1,2,February,26
20150227,2015-02-27,2015,Q1,2,February,27
20150228,2015-02-28,2015,Q1,2,February,28
20150301,2015-03-01,2015,Q1,3,March,1
20150302,2015-03-02,2015,Q1,3,March,2
20150303,2015-03-03,2015,Q1,3,March,3
20150304,2015-03-04,2015,Q1,3,March,4
20150305,2015-03-05,2015,Q1,3,March,5
20150306,2015-03-06,2015,Q1,3,March,6
20150307,2015-03-07,2015,Q1,3,March,7
20150308,2015-03-08,2015,Q1,3,March,8
20150309,2015-03-09,2015,Q1,3,March,9
20150310,2015-03-10,2015,Q1,3,March,10
20150311,2015-03-11,2015,Q1,3,March,11
20150312,2015-03-12,2015,Q1,3,March,12
20150313,2015-03-13,2015,Q1,3,March,13
20150314,2015-03-14,2015,Q1,3,March,14
20150315,2015-03-15,2015,Q1,3,March,15
