OrderNumber,OrderLineItem,DateKey,OrderDate,StockDate,ProductKey,CustomerKey,TerritoryKey,OrderQuantity,ProductPrice,ProductCost,Revenue,TotalCost,Profit
SO45080,1,20150101,2015-01-01,2001-09-21,332,14657,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45079,1,20150101,2015-01-01,2001-12-05,312,29255,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45082,1,20150101,2015-01-01,2001-10-29,350,11455,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45081,1,20150101,2015-01-01,2001-11-16,338,26782,6,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45083,1,20150102,2015-01-02,2001-12-15,312,14947,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45084,1,20150102,2015-01-02,2001-10-12,310,29143,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45086,1,20150102,2015-01-02,2001-12-18,314,18747,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45085,1,20150102,2015-01-02,2001-10-09,312,18746,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45093,1,20150103,2015-01-03,2001-10-03,312,18906,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45090,1,20150103,2015-01-03,2001-09-29,310,29170,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45088,1,20150103,2015-01-03,2001-12-11,345,11398,10,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45092,1,20150103,2015-01-03,2001-10-24,313,18899,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45089,1,20150103,2015-01-03,2001-12-16,351,25977,4,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45091,1,20150103,2015-01-03,2001-10-26,314,18909,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45087,1,20150103,2015-01-03,2001-09-11,350,11388,10,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45094,1,20150103,2015-01-03,2001-09-11,310,22785,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45096,1,20150104,2015-01-04,2001-10-30,312,12483,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45097,1,20150104,2015-01-04,2001-10-30,313,29151,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45098,1,20150104,2015-01-04,2001-09-15,310,29167,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45095,1,20150104,2015-01-04,2001-12-07,344,11394,10,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45099,1,20150104,2015-01-04,2001-12-20,312,29174,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45101,1,20150105,2015-01-05,2001-09-19,313,22748,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45100,1,20150105,2015-01-05,2001-11-21,326,19428,8,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45102,1,20150105,2015-01-05,2001-11-24,310,29274,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45104,1,20150106,2015-01-06,2001-10-17,310,29142,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45108,1,20150106,2015-01-06,2001-10-01,310,22975,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45105,1,20150106,2015-01-06,2001-11-21,312,22765,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45103,1,20150106,2015-01-06,2001-09-24,310,29140,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45106,1,20150106,2015-01-06,2001-11-12,348,19987,6,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45107,1,20150106,2015-01-06,2001-12-14,312,29275,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45109,1,20150107,2015-01-07,2001-11-05,311,14937,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45112,1,20150107,2015-01-07,2001-09-17,324,20558,10,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45111,1,20150107,2015-01-07,2001-11-09,326,25713,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45110,1,20150107,2015-01-07,2001-12-05,311,18710,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45119,1,20150108,2015-01-08,2001-12-14,314,18740,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45117,1,20150108,2015-01-08,2001-11-21,342,14727,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45116,1,20150108,2015-01-08,2001-11-24,311,29204,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45114,1,20150108,2015-01-08,2001-11-01,310,29146,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45115,1,20150108,2015-01-08,2001-09-20,348,25984,4,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45118,1,20150108,2015-01-08,2001-10-29,314,18722,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45113,1,20150108,2015-01-08,2001-11-11,313,29141,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45120,1,20150108,2015-01-08,2001-11-25,344,11751,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45124,1,20150109,2015-01-09,2001-11-22,313,18725,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45122,1,20150109,2015-01-09,2001-12-23,314,29236,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45123,1,20150109,2015-01-09,2001-12-12,311,22971,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45121,1,20150109,2015-01-09,2001-09-24,310,29169,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45129,1,20150110,2015-01-10,2001-11-20,350,11759,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45127,1,20150110,2015-01-10,2001-12-12,313,29158,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45128,1,20150110,2015-01-10,2001-10-07,310,18726,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45126,1,20150110,2015-01-10,2001-12-26,311,12480,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45136,1,20150111,2015-01-11,2001-09-22,312,19084,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45130,1,20150111,2015-01-11,2001-11-30,313,14975,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45134,1,20150111,2015-01-11,2001-12-13,314,22895,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45138,1,20150111,2015-01-11,2001-11-13,349,11452,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45132,1,20150111,2015-01-11,2001-12-07,350,25985,4,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45137,1,20150111,2015-01-11,2001-10-10,310,18735,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45133,1,20150111,2015-01-11,2001-09-26,314,29163,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45131,1,20150111,2015-01-11,2001-09-14,344,25979,1,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45135,1,20150111,2015-01-11,2001-12-03,310,29264,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45141,1,20150112,2015-01-12,2001-12-25,312,29222,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45143,1,20150112,2015-01-12,2001-12-25,310,29278,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45142,1,20150112,2015-01-12,2001-12-26,311,22901,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45145,1,20150112,2015-01-12,2001-11-28,314,18716,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45144,1,20150112,2015-01-12,2001-11-25,311,19093,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45140,1,20150112,2015-01-12,2001-11-17,312,12485,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45139,1,20150112,2015-01-12,2001-09-25,314,12468,7,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45148,1,20150113,2015-01-13,2001-12-10,342,14656,1,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45147,1,20150113,2015-01-13,2001-11-28,312,29166,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45146,1,20150113,2015-01-13,2001-09-25,310,14950,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45149,1,20150114,2015-01-14,2001-12-08,314,14941,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45154,1,20150114,2015-01-14,2001-12-24,313,18767,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45151,1,20150114,2015-01-14,2001-11-27,314,29202,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45150,1,20150114,2015-01-14,2001-09-18,346,25980,1,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45157,1,20150114,2015-01-14,2001-12-30,344,11750,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45156,1,20150114,2015-01-14,2001-10-13,344,11465,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45155,1,20150114,2015-01-14,2001-11-05,312,18900,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45153,1,20150114,2015-01-14,2001-12-08,310,19089,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45152,1,20150114,2015-01-14,2001-12-25,310,29276,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45162,1,20150115,2015-01-15,2001-12-19,312,18721,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45158,1,20150115,2015-01-15,2001-12-05,344,28419,7,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45163,1,20150115,2015-01-15,2001-10-19,328,25714,9,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45159,1,20150115,2015-01-15,2001-10-26,349,11400,10,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45161,1,20150115,2015-01-15,2001-11-20,349,25978,4,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45160,1,20150115,2015-01-15,2001-10-11,310,14984,10,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45164,1,20150115,2015-01-15,2001-10-04,349,11453,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45167,1,20150116,2015-01-16,2001-12-23,311,18706,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45169,1,20150116,2015-01-16,2001-12-08,314,18766,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45171,1,20150116,2015-01-16,2001-12-23,345,11754,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45170,1,20150116,2015-01-16,2001-09-30,351,11462,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45166,1,20150116,2015-01-16,2001-12-26,312,19083,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45168,1,20150116,2015-01-16,2001-10-23,312,18738,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45165,1,20150116,2015-01-16,2001-12-31,313,22881,6,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45172,1,20150117,2015-01-17,2001-09-29,334,18008,7,1,699.0982,413.1463,699.0982,413.1463,285.9519
SO45176,1,20150117,2015-01-17,2001-11-22,313,29254,1,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45174,1,20150117,2015-01-17,2001-11-29,313,29198,4,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
SO45179,1,20150117,2015-01-17,2001-10-30,351,11457,9,1,3374.99,1898.0944,3374.99,1898.0944,1476.8955999999998
SO45178,1,20150117,2015-01-17,2001-12-17,347,11456,9,1,3399.99,1912.1544,3399.99,1912.1544,1487.8355999999999
SO45177,1,20150117,2015-01-17,2001-10-28,314,18903,9,1,3578.27,2171.2942,3578.27,2171.2942,1406.9758000000002
